,Title,Link,Lyrics
0,birds,https://www.lyrics.com//lyric-lf/1552880/Imagine+Dragons/Birds,"Two hearts, one valve
Pumpin' the blood, we were the flood
We were the body and
Two lives, one life
Stickin' it out, lettin' you down
Makin' it right

Seasons, they will change
Life will make you grow
Dreams will make you cry, cry, cry
Everything is temporary
Everything will slide
Love will never die, die, die

I know that ooh, birds fly in different directions
Ooh, I hope to see you again

Sunsets, sunrises
Livin' the dream, watchin' the leaves
Changin' the seasons
Some nights I think of you
Relivin' the past, wishin' it'd last
Wishin' and dreamin'

Seasons, they will change
Life will make you grow
Death will make you hard, hard, hard
Everything is temporary
Everything will slide
Love will never die, die, die

I know that ooh, birds fly in different directions
Ooh, I hope to see you again
Ooh, birds fly in different directions
Ooh, so fly high, so fly high

When the moon is lookin' down
Shinin' light upon your ground
I'm flyin' up to let you see
That the shadow cast is me

I know that ooh, birds fly in different directions
Ooh, I hope to see you again
Ooh, birds fly in different directions
Ooh, so fly high, so fly high
Ooh, so fly high, so fly high
Ooh, so fly high, so fly high"
1,bad liar,https://www.lyrics.com//lyric/37279096/Imagine+Dragons/Bad+Liar,"Oh, hush, my dear, it's been a difficult year
And terrors don't prey on 
Innocent victims
Trust me, darling, trust me darling
It's been a loveless year
I'm a man of three fears
Integrity, faith and 
Crocodile tears
Trust me, darling, trust me, darling

So look me in the eyes
Tell me what you see
Perfect paradise
Tearing at the seams
I wish I could escape
I don't wanna fake it
Wish I could erase it
Make your heart believe

But I'm a bad liar, bad liar
Now you know
Now you know
I'm a bad liar, bad liar
Now you know, you're free to go (go)

Did all my dreams never mean one thing?
Does happiness lie in a diamond ring?
Oh, I've been askin' 
Oh, I've been askin' for problems, problems, problems
I wage my war, on the world inside
I take my gun to the enemy's side
Oh, I've been askin' for (trust me, darling)
Oh, I've been askin' for (trust me, darling) 
Problems, problems, problems

So look me in the eyes
Tell me what you see
Perfect paradise
Tearing at the seams
I wish I could escape
I don't wanna fake it
Wish I could erase it
Make your heart believe

But I'm a bad liar, bad liar
Now you know
Now you know
That I'm a bad liar, bad liar
Now you know, you're free to go

I can't breathe, I can't be
I can't be what you want me to be
Believe me, this one time
Believe me

I'm a bad liar, bad liar
Now you know
Now you know
That I'm a bad liar, bad liar
Now you know, you're free to go

Oh
Please believe me
Please believe me"
2,heart upon my sleeve,https://www.lyrics.com//lyric/37541500/Imagine+Dragons/Heart+Upon+My+Sleeve,"With my heart upon my sleeve
My head down low, I still feel broken
Down upon my knees
With my head down low and I still feel broken

Where are you? Where are you?
Oh, now that I need you most and
My heart upon my sleeve, broken down, whoa

I guess I'm just down on my luck a bit, shakin' me out of it
I guess I'm just down on my luck a bit, shakin' me out of it

With my heart upon my sleeve
My head down low, I still feel broken
Down upon my knees
With my head down low and I still feel broken
Where are you? Where are you?
Oh, now that I need you most and
My heart upon my sleeve, broken down, down, down, down

Now, I can't go a single day without thinking of the words I'd say
And I can't do a single thing without thinking of you, thinking of you

Now I'm just left with the pieces to put back together
(Together, together, together)
(Forever, forever, forever)

With my heart upon my sleeve
My head down low, I still feel broken
Down upon my knees
With my head down low and I still feel broken
Where are you? Where are you?
Oh, now that I need you most and
My heart upon my sleeve, broken down, down, down, down"
3,thunder,https://www.lyrics.com//lyric/35184232/Imagine+Dragons/Thunder,"Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things
And wanna leave my own life behind
Not a yes sir, not a follower
Fit the box, fit the mold
Have a seat in the foyer, take a number
I was lightning before the thunder

Thunder, thunder
Thunder, thun', thunder
Thun-thun-thunder, thunder, thunder
Thunder, thun', thunder
Thun-thun-thunder, thunder

Thunder, feel the thunder
Lightning and the thunder
Thunder, feel the thunder
Lightning and the thunder
Thunder, thunder
Thunder

Kids were laughing in my classes
While I was scheming for the masses
Who do you think you are?
Dreaming 'bout being a big star
They say you're basic, they say you're easy
You're always riding in the back seat
Now I'm smiling from the stage while
You were clapping in the nose bleeds

Thunder
Thunder, thun', thunder
Thun-thun-thunder, thunder, thunder
Thunder, thun', thunder
Thun-thun-thunder, thunder

Thunder, feel the thunder
Lightning and the thunder
Thunder, feel the thunder
Lightning and the thunder
Thunder

Thunder, feel the thunder
Lightning and the thunder, thunder

Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder
Lightning and the thunder, thunder

Thunder, thunder, thunder
Thun-thun-thunder, thunder
Thunder, thunder, thunder
Thun-thun-thunder, thunder
Thunder, thunder, thunder
Thun-thun-thunder, thunder
Thunder, thunder, thunder
Thun-thun-thunder, thunder"
4,whatever it takes,https://www.lyrics.com//lyric/37053664/Imagine+Dragons/Whatever+It+Takes,"Falling too fast to prepare for this
Tripping in the world could be dangerous
Everybody circling, it's vulturous
Negative, nepotist

Everybody waiting for the fall of man
Everybody praying for the end of times
Everybody hoping they could be the one
I was born to run, I was born for this

Whip, whip
Run me like a racehorse
Pull me like a ripcord
Break me down and build me up
I wanna be the slip, slip
Word upon your lip, lip
Letter that you rip, rip
Break me down and build me up

Whatever it takes
'Cause I love the adrenaline in my veins
I do whatever it takes
'Cause I love how it feels when I break the chains
Whatever it takes
Yeah, take me to the top I'm ready for
Whatever it takes
'Cause I love the adrenaline in my veins
I do what it takes

Always had a fear of being typical
Looking at my body feeling miserable
Always hanging on to the visual
I wanna be invisible

Looking at my years like a martyrdom
Everybody needs to be a part of 'em
Never be enough, I'm the prodigal son
I was born to run, I was born for this

Whip, whip
Run me like a racehorse
Pull me like a ripcord
Break me down and build me up
I wanna be the slip, slip
Word upon your lip, lip
Letter that you rip, rip
Break me down and build me up

Whatever it takes
'Cause I love the adrenaline in my veins
I do whatever it takes
'Cause I love how it feels when I break the chains
Whatever it takes
Yeah, take me to the top, I'm ready for
Whatever it takes
'Cause I love the adrenaline in my veins
I do what it takes

Hypocritical, egotistical
Don't wanna be the parenthetical, hypothetical
Working onto something that I'm proud of, out of the box
An epoxy to the world and the vision we've lost
I'm an apostrophe
I'm just a symbol to remind you that there's more to see
I'm just a product of the system, a catastrophe
And yet a masterpiece, and yet I'm half-diseased
And when I am deceased
At least I go down to the grave and die happily
Leave the body and my soul to be a part of thee
I do what it takes

Whatever it takes
'Cause I love the adrenaline in my veins
I do whatever it takes
'Cause I love how it feels when I break the chains
Whatever it takes
Yeah, take me to the top, I'm ready for
Whatever it takes
'Cause I love the adrenaline in my veins
I do what it takes"
5,born to be yours,https://www.lyrics.com//lyric/35329826/Imagine+Dragons/Born+to+Be+Yours,"I know I've given up
A hundred times before
But I know a miracle
Is not something to ignore

You take me for a fool
You take me for a fool

I never knew anybody 'til I knew you
I never knew anybody 'til I knew you
And I know when it rains, oh, it pours
And I know I was born to be yours

I never knew anybody 'til I knew you
I never knew anybody 'til I knew you
And I know when it rains, oh, it pours
And I know I was born to be yours

Are you the only one
Lost in the millions?
Or are you my grain of sand
That's blowing in the wind?

I never knew anybody 'til I knew you
I never knew anybody 'til I knew you
And I know when it rains, oh, it pours
And I know I was born to be yours

I never knew anybody 'til I knew you
I never knew anybody 'til I knew you
And I know when it rains, oh, it pours
And I know I was born to be yours

I was born to be yours
I was born, born, born, born
I was born to be yours
I was born, born, born
I was born to be yours
I was born, born, born, born
I was born to be yours
Oh woah

Oh woah (hey)
Born to be yours
I was born, born, born, born
I was born to be yours
I was born, born, born
I was born to be yours
I was born, born, born, born
I was born to be yours (oh)"
6,natural,https://www.lyrics.com//lyric/37053667/Imagine+Dragons/Natural,"Will you hold the line?
When every one of them is giving up or giving in, tell me
In this house of mine?
Nothing ever comes without a consequence or cost, tell me
Will the stars align?
Will heaven step in? Will it save us from our sin? Will it?
'Cause this house of mine stands strong

That's the price you pay
Leave behind your heartache, cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge, face up 'cause you're a

Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural

Will somebody
Let me see the light within the dark trees' shadows and
What's happenin'?
Lookin' through the glass find the wrong within the past knowin'
We are the youth
Cut until it bleeds, inside a world without the peace facing
A bit of the truth, the truth

That's the price you pay
Leave behind your heartache, cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge, face up 'cause you're a

Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural

Deep inside me, I'm fading to black, I'm fading
Took an oath by the blood of my hand, won't break it
I can taste it, the end is upon us, I swear
Gonna make it
I'm gonna make it

Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural

Natural
Yeah, you're a natural"
7,it's time,https://www.lyrics.com//lyric/37047751/Imagine+Dragons/It%27s+Time,"So this is what you meant
When you said that you were spent
And now it's time to build from the bottom of the pit, right to the top
Don't hold back
Packing my bags and giving the Academy a rain check

I don't ever want to let you down
I don't ever want to leave this town
'Cause after all
This city never sleeps at night

It's time to begin, isn't it?
I get a little bit bigger but then I'll admit
I'm just the same as I was
Now don't you understand
I'm never changing who I am

So this is where you fell
And I am left to sell
The path to heaven runs through miles of clouded hell right to the top
Don't look back
Turning to rags and giving the commodities a rain check

I don't ever want to let you down
I don't ever want to leave this town
'Cause after all
This city never sleeps at night

It's time to begin, isn't it?
I get a little bit bigger but then I'll admit
I'm just the same as I was
Now don't you understand
I'm never changing who I am

It's time to begin, isn't it?
I get a little bit bigger but then I'll admit
I'm just the same as I was
Now don't you understand
I'm never changing who I am

This road never looked so lonely
This house doesn't burn down slowly
To ashes
To ashes

It's time to begin, isn't it?
I get a little bit bigger but then I'll admit
I'm just the same as I was
Now don't you understand
I'm never changing who I am

It's time to begin, isn't it?
I get a little bit bigger but then I'll admit
I'm just the same as I was
Now don't you understand
I'm never changing who I am"
8,radioactive,https://www.lyrics.com//lyric/37047850/Imagine+Dragons/Radioactive,"Whoa, oh, oh
Whoa, oh, oh
Whoa, oh, oh
Whoa

I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals

I'm breaking in, shaping up, then checking out on the prison bus
This is it, the apocalypse
Whoa

I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive

I raise my flags, don my clothes
It's a revolution, I suppose
We'll paint it red to fit right in
Whoa

I'm breaking in, shaping up, then checking out on the prison bus
This is it, the apocalypse
Whoa

I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive

All systems go, the sun hasn't died
Deep in my bones, straight from inside

I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive"
9,machine,https://www.lyrics.com//lyric/35602175/Imagine+Dragons/Machine,"All my life I've been sittin' at the table
Watchin' them kids, they're living in a fable
Looks, luck, money and never left a'wishin'
But now it's 'bout time to raise up and petition

All my life I've been sittin' at the table
Watching them kids, they're living in a fable
Looks, luck, money and never left a'wishin'
Now it's 'bout time to stand up and petition

'Cause I've been wondering
When you gonna see I'm not for sale
I've been questioning
When you gonna see I'm not a part of your machine
Not a part of your machine

I'm not scared of what you're gonna tell me
No, I'm not scared of the beast in the belly
Fill my cup with endless ambition
And paint this town with my very own vision

I'm not scared of what you're gonna tell me
And I'm not scared of the beast in the belly
Fill my cup with endless ambition
And paint this town with my very own vision

'Cause I've been wondering
When you gonna see I'm not for sale
I've been questioning
When you gonna see I'm not a part of your machine
Not a part of your machine
I am the machine

I am the machine

'Cause I've been wondering
When you gonna see I'm not for sale
I've been questioning
When you gonna see I'm not a part of your machine
Not a part of your machine
'Cause I've been wondering
When you gonna see I'm not for sale
I've been questioning
When you gonna see I'm not a part of your machine
Not a part of your machine
I am the machine"
